size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,5.428E-01
1024,OpenMP_GPU_Teams,9.121E-02
1024,Compute_OpenMP_GPU_Teams_Parallel,1.312E+00
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,1.821E+00
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,2.065E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,2.291E+00
2048,OpenMP_GPU_Teams,1.323E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,3.518E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.689E+00
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,3.605E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,2.657E+00
5096,OpenMP_GPU_Teams,1.293E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,3.087E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.095E+00
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,3.098E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,2.806E+00
10192,OpenMP_GPU_Teams,1.301E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,2.865E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.864E+00
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,2.862E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,2.665E+00
20384,OpenMP_GPU_Teams,1.266E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,2.860E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.862E+00
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,2.839E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,2.839E+00
40768,OpenMP_GPU_Teams,1.264E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,2.859E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.837E+00
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,2.824E+00
