size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,4.291E-01
1024,OpenMP_GPU_Teams,3.845E-03
1024,Compute_OpenMP_GPU_Teams_Parallel,3.518E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.001E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,1.039E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,2.423E+00
2048,OpenMP_GPU_Teams,3.589E-02
2048,Compute_OpenMP_GPU_Teams_Parallel,4.938E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.238E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,1.512E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,4.160E+00
5096,OpenMP_GPU_Teams,1.634E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,5.526E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.654E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,1.545E+00
10192,Serial,1.000E+00
10192,OpenMP_CPU,3.457E+00
10192,OpenMP_GPU_Teams,3.517E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,6.100E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,5.275E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,1.852E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,3.492E+00
20384,OpenMP_GPU_Teams,5.415E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,6.538E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,5.977E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,1.824E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,3.374E+00
40768,OpenMP_GPU_Teams,6.903E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,7.384E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,6.495E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,2.131E+00
