size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,1.966E+00
1024,OpenMP_GPU_Teams,3.213E-02
1024,Compute_OpenMP_GPU_Teams_Parallel,1.138E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,9.586E-02
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,3.125E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,7.301E+00
2048,OpenMP_GPU_Teams,1.353E-01
2048,Compute_OpenMP_GPU_Teams_Parallel,2.468E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.025E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,8.509E+00
5096,Serial,1.000E+00
5096,OpenMP_CPU,3.519E+00
5096,OpenMP_GPU_Teams,2.803E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,3.368E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.765E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,1.133E+01
10192,Serial,1.000E+00
10192,OpenMP_CPU,1.727E+00
10192,OpenMP_GPU_Teams,3.155E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,3.403E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.933E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,9.826E+00
20384,Serial,1.000E+00
20384,OpenMP_CPU,1.761E+00
20384,OpenMP_GPU_Teams,3.730E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,3.939E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,3.459E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,9.792E+00
40768,Serial,1.000E+00
40768,OpenMP_CPU,1.699E+00
40768,OpenMP_GPU_Teams,4.558E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,4.634E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.071E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,9.671E+00
