size,version,speedup
1024,Serial,1.000E+00
1024,OpenMP_CPU,4.089E-01
1024,OpenMP_GPU_Teams,1.371E-02
1024,Compute_OpenMP_GPU_Teams_Parallel,3.838E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,2.222E-01
1024,Compute_OpenMP_GPU_Teams_Parallel_Data,5.062E+00
2048,Serial,1.000E+00
2048,OpenMP_CPU,1.602E+00
2048,OpenMP_GPU_Teams,7.581E-02
2048,Compute_OpenMP_GPU_Teams_Parallel,6.595E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.084E-01
2048,Compute_OpenMP_GPU_Teams_Parallel_Data,1.216E+01
5096,Serial,1.000E+00
5096,OpenMP_CPU,2.526E+00
5096,OpenMP_GPU_Teams,2.191E-01
5096,Compute_OpenMP_GPU_Teams_Parallel,7.147E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.313E-01
5096,Compute_OpenMP_GPU_Teams_Parallel_Data,1.454E+01
10192,Serial,1.000E+00
10192,OpenMP_CPU,2.742E+00
10192,OpenMP_GPU_Teams,4.087E-01
10192,Compute_OpenMP_GPU_Teams_Parallel,7.156E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.360E-01
10192,Compute_OpenMP_GPU_Teams_Parallel_Data,1.229E+01
20384,Serial,1.000E+00
20384,OpenMP_CPU,2.791E+00
20384,OpenMP_GPU_Teams,5.278E-01
20384,Compute_OpenMP_GPU_Teams_Parallel,7.384E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.465E-01
20384,Compute_OpenMP_GPU_Teams_Parallel_Data,1.518E+01
40768,Serial,1.000E+00
40768,OpenMP_CPU,2.833E+00
40768,OpenMP_GPU_Teams,5.505E-01
40768,Compute_OpenMP_GPU_Teams_Parallel,7.155E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Implicit_Map,4.366E-01
40768,Compute_OpenMP_GPU_Teams_Parallel_Data,1.496E+01
